Image,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1DLIR_60dose_2-5mm.nii,0.9969501487117016,0.2972818531272238,8.50766526256446,28.618178920337748,30.429707050323486,30.83775399033637,32.051867057527986,32.051867057527986,4596.038843045612,28.530897730488803,0.5789786353698642,2308.929715819432,0.5023738472778868,4644.983538148979,63.0,103.0,23490498.0,1.4999773923307798,21.0,2.97244387463507,153.0,12.41283736872457,82.01778831900386,81.0,40.0,113.0,9.010898945167405,83.45222904786083,0.3513852172162807,32348940.5611982,0.3986217436754035,237.35693231570107,8.30831099370118,4.882210076687608,0.3660500866600497,1.317698245538175,0.4958476108123537,0.4512726237469523,0.4555796279244849,1.096221586945406,0.2854211974201704,0.778842420825002,0.7762369843265444,0.9867679474206544,0.9356325006721632,-0.1217150792661693,0.5317553485479516,0.4210921577860105,2.8464483504091422,0.1946441376623562,2.7505164272104143,0.4587036388191029,0.3470054177221737,5.692896700818283,2.2004334303571427,0.4533864640876321,5.6326985004025705,190.97391046546105,0.0566184140128849,24.69898882222396,1344.551141417136,0.4782313710251505,8.29765787133116,142.0868662911355,1165.0210495108213,20.591789208419804,0.1568504792963732,0.0283571835137585,0.2413134898695008,0.0075536275797076,777.5720051286196,0.3686957886236169,0.5551322874454445,8.375999131247237,4.728164344537998,38.25460941493373,0.7206108346917401,0.1624074192485716,3.063487159326613,1030.059895158648,0.463133879884047,0.621747360259071,1.550692510519997,0.6882896232911782,5.763992174125009,0.1161896592813454,15.535211267605634,0.2188057925014878,1.923824637968657,10.098591549295774,51155.05633802817,416232.8450704225,6942.017942097026,0.320160406885759,11.112676056338028,0.156516564173775,0.3893007055338697,3.2887516245526034,0.1942043610665473,4.930267220659725,0.0210495108212273,48898.13727435033,20.28594367195212,0.0024019526134393,5.9842651995951055,0.011407909441934,0.0386777990905877
2FBP_40dose_2-5mm.nii,0.9909290596090808,0.2675337693514788,8.381460004528352,31.32860582365216,33.39845895767212,33.39845895767212,34.7879584847503,34.7879584847503,5451.50948701095,31.044425907695206,0.5795737697723651,2584.559793188638,0.4740998432354827,5501.5443922043205,37.0,125.0,29618806.0,2.504228299930082,47.0,2.832854310250005,196.0,27.220544203408203,79.16495619524406,77.0,-21.0,217.0,19.342431225132003,86.10440732739238,0.2476184567425714,40788279.362475015,0.2029234290046538,1146.878671806592,23.50762316503408,75.55726470488818,3.480000663042932,5.193881679445601,2.4305391334234674,0.3621971500308797,1.1992096432683967,1.93258505442534,0.9805318762371512,0.5639401586376683,0.5188418054619902,0.9723790489178163,0.8904337100474066,-0.0509542727994894,0.4555202138889996,0.4826633620857356,4.776496499137265,0.0448834550464329,4.878752286325107,0.3851371079885521,0.0831680470120867,9.55299299827453,3.210348583242682,1.9061052032172667,5.803138106436261,410.5364205256571,0.1027625583293259,7.882976123157702,810.679098873592,1.9110975076793424,23.91764705882353,39.30187734668336,940.6720901126408,2.0943639170798343,0.0644634287521155,0.1049473355805003,2.590214976485269,0.011209955956912,646.6264302331351,0.1965287309937401,2.022265837399999,23.92801039513487,1.791539824709273,42.70321878073333,0.1100275611064141,0.0665375207523811,3.336358894259229,2333.119185042545,0.7024774217144292,0.8228747472802541,0.2809466500635137,0.8610135299416903,20.58675526088025,0.0588124111964288,56.6958762886598,0.1461233924965458,4.88396083537039,25.06443298969072,5030.610824742268,104617.48711340208,258.8347038083323,0.1230903877635437,109.36082474226804,0.281857795727495,0.5496158628868439,14.20143417219118,0.0791341293710269,5.460132334309289,0.0971214017521902,4924.595141619726,12.720974506256509,0.0018414501075281,26.60463660996468,0.0434060640724279,0.0477929413114107
1FBP_40dose_1-25mm.nii,0.9747750296335548,0.3612461995058971,10.61798508660928,29.39265548297056,31.57035064081998,33.978221859704625,32.051867057527986,35.13760396702866,6154.235959385576,28.65122661942148,0.6552352570247927,2478.580120881246,0.4027437584841484,6188.721025923959,25.0,132.0,70844290.0,2.7942202542441863,57.0,2.89961669691227,235.0,33.18671525441924,78.56119270137961,77.0,-82.0,317.0,23.676809516653165,88.7811761623232,0.0933647357516223,48780100.922302455,0.1666429986557758,1710.2362421021633,59.85783114222424,153.50611541656204,3.233371864477991,7.27202624084504,4.103694147474879,0.2786754310168243,1.5810097051505752,2.2541298598310764,1.5888778450479168,0.5007014120584259,0.4379169974921125,0.9802649164040168,0.9041753421095736,-0.0274417527065231,0.3537659032067075,0.4284606837135886,7.685418894923496,0.0290683867246988,5.518889883690197,0.2911010000245996,0.0579745533350504,15.370837789846991,3.4694068782617618,2.843930097079981,5.965289646529423,971.3587004895415,0.1080728416209992,6.735493291851926,1497.787271918113,2.829669978306634,61.48297730307076,36.03360035603026,2177.128059635069,0.6718490239496595,0.0203104691248793,0.1078757464020995,6.868082595888058,0.0029216420708587,1196.8483180290175,0.1603817774357306,3.019289741625747,61.644556427847874,1.709133889025691,104.64144994802952,0.0339345906087606,0.0206068370491998,3.613404343503038,5327.467599238408,0.7127805548058167,0.830277977474239,0.2541662975364476,0.8694739635891973,53.711620304091625,0.0181314074250105,93.49037227214376,0.1200133148551268,8.488618929834999,64.9216944801027,13537.222079589215,790655.7702182285,245.3172285710597,0.0308327287988488,288.604621309371,0.3704809002687689,0.6323174835751758,41.294363277518,0.0209143971011679,5.327002600755305,0.0866711170449488,13404.099657076566,11.079363834453634,0.0007741440282453,81.23069158789254,0.0396857004318061,0.047317119811966
1DLIR_100dose_2-5mm.nii,0.9493912248021976,0.4926611967471344,11.096655918831177,22.523908909608515,23.1432520669877,25.087050767998424,24.67147152527805,26.214473683389144,3414.021587315034,21.38400146702636,0.6568533070953095,1669.2699509982076,0.4889453415293162,3453.7855658694457,66.0,106.0,18434567.0,1.5391373867344786,21.0,3.1267522670238432,139.0,12.540105156322731,84.25797448165869,82.0,37.0,102.0,8.707269853773914,85.73392456531785,0.5091063483214234,25386380.15057943,0.3983046913354141,250.8995576197636,8.686701947769608,6.175263587241448,0.6317424232952997,1.4172136898582544,0.5321984376371204,0.4527332298928991,0.4810414601730759,1.1254328970828789,0.2975258183705946,0.7679114652300452,0.7645949676598665,0.9799505818340476,0.9210377346064345,-0.1227925054466362,0.5414546614804844,0.4371665766140081,2.909541200123156,0.1903780606430713,2.8460212926384,0.4784115427000427,0.3520458577282583,5.819082400246312,2.2550992521745354,0.4873530318738437,5.638999399732629,140.85805422647528,0.0561634984954048,23.81885462532655,998.9481658692184,0.5040767470728438,8.941387559808613,145.73285486443382,1290.384768740032,19.27827153110048,0.1447793726741095,0.0281024692739477,0.3128562726376414,0.0052615175737876,556.1122309176501,0.3598709467800797,0.5970557823125813,9.038593579555192,4.350645895335426,38.21309310077464,0.6051061164983076,0.1499950463063907,3.170304433142537,719.2855758171229,0.4473584797659432,0.6137897190528768,1.3006515144721982,0.6788154109517536,6.184736803523786,0.1051679122011998,16.1,0.2683333333333333,1.709722222222222,14.55,37880.7,304965.11666666664,5241.001037037037,0.1926111111111111,9.933333333333334,0.1655555555555555,0.3930481325516027,5.637055748958909,0.0939855999423213,4.637210437818775,0.0239234449760765,36133.46000000001,20.29109860714689,0.003218105501706,3.8236377974424127,0.0188563624233768,0.0267874263497766
1FBP_40dose_2-5mm.nii,0.9909290596090808,0.2675337693514788,8.381460004528352,31.32860582365216,33.39845895767212,33.39845895767212,34.7879584847503,34.7879584847503,5451.50948701095,31.044425907695206,0.5795737697723651,2584.559793188638,0.4740998432354827,5501.5443922043205,36.0,125.0,29307242.0,2.5130616871923688,46.0,2.8069096900633235,194.0,27.123139218140324,78.70588235294117,76.0,-31.0,225.0,19.357897517269407,85.6503384441328,0.1797676132422878,40359222.24682727,0.203378816762505,1141.3645586394762,33.71029850586959,78.70497952379509,3.158910937243531,5.356038818647572,2.4896673030230976,0.3655752226894131,1.2084814846783234,1.949752872682721,1.018018571881235,0.5633453578340757,0.5183241825582828,0.9768239196880082,0.8991221894848151,-0.0520570981790003,0.4627582709361337,0.4826010474195072,5.74389256219799,0.0445764307212837,4.914291876367342,0.3896376581638539,0.0944082338639013,11.48778512439598,3.2334316705765755,1.9614265304176672,5.8087929385702,403.2137672090113,0.1009296038070115,8.323756761032643,812.4983729662077,1.934027045696984,34.10663329161452,39.49061326658323,1331.6030037546934,1.3653724769655693,0.0387120540887749,0.1105428166353688,3.781252735861388,0.0060618370815607,644.0256070965219,0.1954959756113219,2.0575475649220394,34.15800191544586,1.7848109958376537,60.63084000041068,0.0670057339702542,0.0395021557252342,3.345160445625124,2343.983780474524,0.7056639242450407,0.8237412149802638,0.2815957064124689,0.8629419223512673,29.49929158473221,0.034654835401709,59.421836228287845,0.1474487251322279,4.88695823507318,34.148883374689824,5243.9478908188585,158150.317617866,181.87136429302907,0.0614540152059353,126.32506203473946,0.3134616923938944,0.5794612520202753,19.77129595919928,0.0393866768398106,5.158080880472639,0.1008760951188986,5145.677320838131,8.551090455249481,0.001867602124188,34.27417254362179,0.0354066528136016,0.0620667496122166
1AV_100dose_0-625mm.nii,0.9909636064304094,0.4845966374494158,12.46013386607414,25.71238201663086,31.17816005771224,29.901207204637164,31.32173958235191,32.049367605000974,5231.7747743493455,25.48003481311692,0.3661441266063291,3980.443027999563,0.7608207921172591,5263.304797748414,47.0,124.0,120944572.0,2.3326283084534505,41.0,2.866172333299202,186.0,23.94574643044031,83.78571428571429,81.0,-11.0,197.0,17.036389026975144,88.94424520214197,0.2634664603624247,41638418.7643399,0.2299621897625934,891.0328362114077,24.53489296618785,52.14964694848023,2.37538158395163,4.270990538181928,1.6511098768424055,0.4420889762259065,0.9568433247520935,1.717328879820437,0.7241548614514607,0.6201981452211351,0.5897160668880638,0.980826666522336,0.910294894882854,-0.0760571007143429,0.5217552022501476,0.5017473662881713,4.886706996509904,0.0616460053803789,4.466052759519273,0.4513663275168629,0.1152027908380351,9.773413993019808,3.0773077264678323,1.4805251037560834,6.100965319124327,1108.6966248037677,0.0725207106752856,14.462710088060502,3515.6619570905286,1.5055470805639004,25.25013082155939,79.43550497121926,1933.1538461538464,3.8491710545883033,0.0528135469288641,0.0569898551893549,1.5209467871783893,0.0044229304673876,2411.3086752939344,0.2165301682387545,1.6630588225089051,25.46719588016239,2.4712022673988723,61.46021944897582,0.1261916467318931,0.0541837927939754,3.538083922200747,6521.424236152488,0.5822787725326969,0.728439600692348,0.5642134430687139,0.7896872206681895,20.229025928157373,0.043753207890819,110.31476323119776,0.153641731519774,4.792911678214788,27.867688022284124,64648.119777158776,1503188.766016713,3038.0755661326093,0.0914461723640245,206.3649025069638,0.287416298756217,0.5513651474398528,15.325786015541864,0.05553968139866,5.351020230846995,0.0469649398220826,64194.75011056711,38.53375279299581,0.0005308082689064,22.236599144349544,0.0274376413916087,0.0146948462386216
2DLIR_100dose_1-25mm.nii,0.972562766745604,0.5358728445641999,12.24529698125268,22.851124302092973,27.410676138650825,28.821286532083835,27.21918120615309,30.492922065580583,3382.893220264899,22.22415267449125,0.4794027363127868,2273.2252728142503,0.6719766557208224,3411.095233914919,61.0,109.0,36298447.0,1.7020758898438328,24.0,2.961880724773268,150.0,14.77852871366104,83.58195397658457,82.0,28.0,122.0,10.507525243257604,85.59847374874539,0.3961919259024157,24993431.48167406,0.3528243448934884,341.15567757075223,8.5089252540749,9.6941031241151,0.8693780506418729,1.8416653011150752,0.6621702826738759,0.470810532972158,0.5616970857048269,1.2263748211121197,0.3423969183226517,0.7356837953769906,0.7291987768444913,0.9825269632904876,0.9215415712928638,-0.1155214808078886,0.5541202910760376,0.4757965429008544,2.866014822828041,0.1435358087380711,3.195917484092566,0.4832025196225122,0.2549213875825451,5.732029645656083,2.456531892086002,0.6259588959472377,5.766902403351719,294.6237383932176,0.0594718890579769,20.988889629565765,1747.8918046023416,0.632640681838518,8.796729915220023,132.33952361727896,1109.6962050867985,19.863179978020007,0.1621849347328758,0.0317898512651135,0.3163593756530387,0.0089070855233711,1037.2037303573366,0.330112723586008,0.7215533889875828,8.983861000899898,3.7917468247847808,32.39274999760555,0.589285871061348,0.1683807921072608,3.268687908750876,1514.6118407800614,0.4705796770139618,0.6326045774975934,1.0974768891889666,0.7023882757001041,6.421358723592131,0.1224509693688777,29.20472440944882,0.2299584599169198,2.6057412114824228,11.464566929133856,59658.503937007874,456814.74803149607,8986.292954943132,0.37001312335958,26.401574803149607,0.2078864157728315,0.4586487764099068,5.062096904905217,0.1970879256297211,4.845146162811783,0.0256358498183286,58136.88970177941,33.573172182118235,0.0015587253466037,6.724518427916343,0.0178365330063829,0.0226953864007724
1DLIR_100dose_0-625mm.nii,0.9909636064304094,0.4845966374494158,12.46013386607414,25.71238201663086,31.17816005771224,29.901207204637164,31.32173958235191,32.049367605000974,5231.7747743493455,25.48003481311692,0.3661441266063291,3980.443027999563,0.7608207921172591,5263.304797748414,59.700000000000045,112.0,113735481.0,1.81042401538563,28.0,2.8830712489926347,163.0,16.209220683100757,83.85917059131344,82.0,24.0,139.0,11.540670975962197,86.25268976307798,0.3787980335420906,39156495.47498192,0.3270555927962297,407.1659991027668,15.47046317949495,12.642280186534991,1.0079913818339643,2.0851438596927694,0.7351611040849139,0.4776303156387406,0.5974497970677667,1.281127256313656,0.3726216102451571,0.7236148637400336,0.7150444184873531,0.9856362421415472,0.9272109816181237,-0.1132151954942295,0.556221163095823,0.4827208001234243,3.890109066966013,0.1292580236255307,3.360632916331145,0.4846256244433121,0.2324524239683211,7.780218133932028,2.550253606825255,0.7050762409444207,5.930684283019252,862.7844060701203,0.056435400711023,23.009678724567152,5000.02590266876,0.7371712723248942,15.754317111459969,149.10753532182105,2263.513997906855,11.210238666655394,0.0779954499460694,0.0303132584337587,0.5133489106813541,0.0031023218852674,2798.614511006132,0.3018063180613978,0.8581108348710516,16.00061190435035,4.112659536595903,63.48247897586205,0.3140932120024094,0.079576546155279,3.4784483280541854,4248.229664739572,0.4512001825264516,0.606564223322465,1.292367061990383,0.6904008077408916,11.180078228119154,0.056043835284184,82.04273504273505,0.233739985876738,2.929375573250217,18.00854700854701,207614.0911680912,3025619.4131054133,15791.079212954888,0.1249676822295869,97.34757834757836,0.2773435280557788,0.5419239640659619,9.456486152914762,0.0679066757489886,4.821065596028934,0.0229591836734693,205717.00474833808,60.75518676161277,0.0005155438664842,9.514535210170669,0.0157153496111376,0.0097218102830319
1AV_40dose_0-625mm.nii,0.9922551665764058,0.385114718791501,11.276402458891642,29.28063226011526,35.67999679725672,35.09415048276305,36.07064110014375,37.07313423703464,5903.631087327484,29.05385864072315,0.3975080804495132,3973.9064319034665,0.6731291933931486,5927.414881137784,36.0,126.0,132789378.0,2.561849073225725,47.0,2.9473150738208145,209.0,27.93389802440103,80.55607829470871,79.0,-62.0,271.0,19.72522153810412,87.82192019757599,0.12020858479127,45716311.50689611,0.1964233364875535,1223.4079169661643,46.83104902377709,95.07136608020411,2.0990384655352954,5.718330471269618,2.48535943015567,0.3940357258853462,1.2034316845545183,1.9513713642245067,1.0232203891726228,0.5656173183269411,0.5207955445599386,0.9836037151893062,0.9140099196781464,-0.0549098123078322,0.471141883336708,0.4795624663555455,6.783985861992497,0.0425834796643598,4.9856163267077465,0.4028944005217235,0.0814777421205776,13.567971723984996,3.2971835841581743,2.0509224753563213,6.096348779474988,1498.140732996457,0.0870152020094358,10.314187157079674,3381.820584306209,2.048195900179016,47.47377591914968,56.59005633966429,2692.024046001045,1.3379819022720163,0.0259583595217002,0.0728405427287673,3.40596249027739,0.0025884055357279,2513.61441618202,0.1879522397668425,2.212876055298034,47.4399343775539,2.0591108046989506,97.75706167604092,0.0518625570944966,0.0264991728483899,3.584595596794572,8596.546760149688,0.6408381852858914,0.7768216565916515,0.3923265739680875,0.8275830571697385,39.21886209061867,0.0223118141130789,139.43700787401573,0.1372411494822989,6.1344695501891,46.8001968503937,46132.16043307087,2111988.029527559,1068.3087612019815,0.0418512700045299,308.90944881889766,0.3040447330894661,0.5680931705174582,26.54981522201469,0.02503242487883,5.477557588611792,0.0590114421792414,45844.998053777366,22.524676549521786,0.0004450380184017,51.67140470383097,0.0254726489547533,0.0238138312040749
1FBP_100dose_2-5mm.nii,0.9493912248021976,0.4926611967471344,11.096655918831177,22.523908909608515,23.1432520669877,25.087050767998424,24.67147152527805,26.214473683389144,3414.021587315034,21.38400146702636,0.6568533070953095,1669.2699509982076,0.4889453415293162,3453.7855658694457,48.0,124.0,19882631.0,2.3056552429801944,41.0,2.8106403202830017,178.0,23.55541088294173,84.12161084529505,81.0,-2.0,180.0,16.89897862827663,89.03754158669382,0.3180008242917779,27380519.91997942,0.2337400700533412,851.2384005949701,24.29907791658833,45.66136497969933,2.9618520382696354,4.069078941367795,1.7252570760996166,0.403946237414502,0.9843034271679584,1.743685772957578,0.7483556530999476,0.6130576101500236,0.580598210989816,0.9799868071000846,0.9079506776027224,-0.0681145100462106,0.5024851993519366,0.4992151145074212,4.869608929780482,0.0622902316431596,4.440168532225946,0.4283515693344474,0.1205443291906708,9.739217859560965,3.0214276384939938,1.4485840043668523,5.859228175398265,209.17145135566187,0.0834016951178875,12.076661223160844,586.2200956937799,1.4641720656578376,25.188995215311003,58.37958532695375,1377.8125996810206,2.9009723404505934,0.0522365670343688,0.0780530003225397,2.116588903188652,0.005951260698053,433.8630768280664,0.2225787895087881,1.5847603195922593,25.49277188804508,2.088691210201512,51.55721005200692,0.1070732516894198,0.0530164805506308,3.320803286603814,1257.2146673260077,0.6382242399376094,0.7767451846399217,0.3902203921897075,0.8231639311690713,21.176023094548647,0.0442316246341371,27.265895953757227,0.1576063349928163,4.444785993517992,29.27167630057804,6353.942196531792,133371.75722543354,322.73686857921285,0.0826327712095328,46.84971098265896,0.2708075779344449,0.5362349168240369,14.740534556344398,0.0552602483260742,5.1671555903800135,0.0689792663476874,6143.77600320759,6.577477465035567,0.0031000096938118,23.04720596810131,0.0274949858530265,0.0864981751721254
