Image,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1DLIR_60dose_2-5mm.nii,0.7359317033926228,0.6873211604383946,13.828716525799166,20.119730515758867,22.947487818596912,21.574142508241486,17.516265214926104,23.63336816402665,2446.374063012384,14.806747550262958,0.6541627583756359,1342.1886157626443,0.5486440671750411,2482.9247907745657,112.0,140.0,28630063.0,1.228856552136023,15.0,5.65876195140049,165.0,9.130458910382,125.43372157515252,126.0,56.0,109.0,6.206409859171337,126.01240155891198,-0.6955393927839519,39426673.97900035,0.4704548929205007,145.5068384515977,12.826472203272086,2.062522355262585,-0.2637975409661597,0.74239665890029,0.5028277275124681,0.1898684152635938,0.4709079753555199,1.086471560143106,0.2787429528247642,0.7698167994269898,0.7677379875379347,0.9809211041941454,0.9222718192834304,-0.0355429915516454,0.2550199440796808,0.4434425905500098,3.57299164939922,0.2378922410258977,2.3282979584595465,0.3165402787806509,0.3343089136912225,7.145983298798441,1.778922366424675,0.3113060966031895,5.318230268516552,101.81641708264004,0.0564705585594232,24.22833454687741,848.2301719356628,0.33716837870204,12.866333887964505,150.78147531891292,2048.0133111480864,12.026419239539038,0.0901623836815184,0.0330810397510939,0.4374771599464769,0.0040425658139099,488.8325922458717,0.4465004250217298,0.3892237612721589,12.60637922128699,4.32549515651498,57.189299128520894,0.3666033866416155,0.0950327225243061,2.8854281680460447,505.2822324634925,0.4459787886400498,0.6057852297452962,1.2951763729640138,0.677917562265085,8.419181781984445,0.0675243542764231,14.043478260869565,0.3052930056710775,1.7712665406427222,13.869565217391305,32184.630434782608,428162.2608695653,2615.66884057971,0.1427657004830917,15.869565217391305,0.3449905482041588,0.6040550137140833,8.707503744735797,0.0773271679015724,3.4409020915599484,0.0255130338325013,30648.33128544424,15.41048417775744,0.0029435008235851,4.847365615766909,0.0144822496043067,0.0339395488070909
2FBP_40dose_2-5mm.nii,0.9530789989289228,0.9051580329619556,19.08084045408905,21.08012055270687,26.23468995587206,26.23468995587206,24.232181711457635,27.982207773335816,4411.678578838211,20.09102019367488,0.542364597612132,2398.439124354717,0.5436568148594205,4465.959565436448,70.0,158.0,48487354.0,2.525288127921,45.0,3.2551592369201487,221.0,27.1731665412988,117.31791551032994,121.0,-25.0,246.0,18.75938827048609,122.27587185334704,-0.4429109161074146,66772297.99537565,0.2048037429510882,1187.8955378072308,41.62736312774754,57.233975444540015,-3.436792996498649,3.8857975948009664,2.4406195301656743,0.2039692020664331,1.1959686814891906,1.9396650409568887,1.003011784843583,0.5655038472763855,0.5212253037240321,0.9772543327382311,0.9000151837740102,-0.0296337514564839,0.3137769208459829,0.4853210839676261,6.422783743918733,0.0556882931783003,4.644290871670604,0.3084386758299781,0.1078653550173525,12.845567487837464,2.9727821980390066,1.5816042812416602,5.756143208594707,303.93617021276594,0.0937206815333845,10.130933306481694,664.1785383903792,2.0018187611372733,40.47394387912427,41.20906567992599,1775.6802343509096,1.0598116898796384,0.0337733761233276,0.1295573876685601,4.988787791422047,0.006761684815787,513.1565642307706,0.1919809374349877,2.189960480339331,40.07412549520413,1.800940491145695,74.0388209033638,0.0568000581155568,0.0351946163347586,3.3614578014416767,1922.0984222632103,0.7132412298873548,0.8240470599397519,0.3029729157008317,0.866944823596807,34.46021135016072,0.0315062809843365,62.67517401392112,0.1454180371552694,4.883328578119196,37.222737819025525,3370.266821345708,147383.12993039444,79.85085532657678,0.0573602276693095,134.85614849187934,0.3128912958048245,0.572139690244865,22.4217865670592,0.0351862906637197,5.1353402149528495,0.1329016342892383,3313.650798606812,6.243914037144476,0.0021984954411292,36.20849847292183,0.0383057625623195,0.0769583688391142
1FBP_40dose_1-25mm.nii,0.9715896889105108,0.6971788497901382,17.6604383436794,25.331288160843474,31.914083003997803,33.49189544870981,34.74835018489226,35.37167177408064,6065.527285727409,24.611618383896413,0.3512634236533886,4578.92540340699,0.7549097032638048,6111.60300690933,44.0,168.0,121461380.0,2.9750154443010524,65.0,2.815503488825053,258.0,38.017236834329104,107.00811176205498,108.0,-64.0,322.0,27.243762316140536,116.97968801780364,-0.1617480930083844,83632687.61056295,0.1459027092212956,2233.5114258622275,67.57079361207425,211.72741162627213,-6.097147711762316,8.310246001897344,4.400503869121166,0.2961331276000641,1.6417206181440211,2.297028529754737,1.688643057978117,0.4919455261088374,0.4267663026767028,0.9789081918356514,0.9009733048450268,-0.0339672125062796,0.384408952051344,0.4196887385471537,8.157536644252655,0.0266960391368599,5.646234290760323,0.3193370737967609,0.0536204829222745,16.315073288505314,3.5488265298864685,3.177687467754628,6.03058248953099,1029.4339792699411,0.1159794929326207,6.709910121140278,1295.03244704822,3.650138222053343,64.47115817936007,27.53582694907616,1898.2726453357368,0.4597970733207795,0.0215158171603305,0.1714319851573502,9.91445980205507,0.0055000156353725,1081.8055719768936,0.1412440586842484,3.848966968730877,63.90409148791112,1.557803327942262,101.81507753167892,0.0318442092442802,0.0221717433150149,3.653186804076718,5907.674853107926,0.7683522909930074,0.8629406870731793,0.2055816383096584,0.8974246935794348,56.92594405141881,0.0203682321974056,172.70408825438028,0.1120727373487217,6.609663361099869,55.864373783257626,3838.5853341985726,268000.2426995457,57.83730580004276,0.0344260332874768,540.6080467229071,0.350816383337383,0.61209837396546,33.99809846760593,0.0231848330123923,5.439043260663352,0.1736142406489409,3805.4089302942166,9.68573478791467,0.0008127392280534,93.94474580111203,0.0453504659314218,0.0557733679393779
1DLIR_100dose_2-5mm.nii,0.6346755057245157,0.6027227057820349,12.795101985244145,21.22883684735661,23.2870256569168,21.14865967852758,17.516265214926104,24.97619520471889,1940.5739606210896,13.473422762039297,0.586264361761848,1283.3469891792497,0.6613234100948714,1978.9034522146703,114.0,137.4000000000001,22688434.0,1.2137229234116351,13.0,10.905916498693948,156.0,8.726030269703806,124.9589422407794,127.0,56.0,100.0,5.176143684900584,125.6532935261689,-2.214747149362405,31244412.22543125,0.4842440733977121,174.01292803911346,13.095883015309893,3.561074694061507,-0.7556636364726891,0.6803166530618527,0.4387913986522948,0.1672212103075714,0.4343255153070902,0.9998595703368752,0.2478610925370361,0.7835815562373225,0.7832838306809754,0.9831589452773936,0.9277187446713232,-0.0526289082329179,0.2327969440643947,0.4304178673800361,3.610181908939894,0.2826855685621023,2.0212829006546613,0.2929297644919945,0.4113171297966692,7.220363817879789,1.5708407654327785,0.2797770129285368,5.285908001890069,77.65692414752958,0.0540410049739245,27.800469643854218,695.8587334725122,0.3949986658395356,12.882393876130829,141.0,2040.6346555323591,10.689802829969844,0.1003707569782726,0.0313745102344062,0.33871849389725,0.0044407979117907,407.2738733685659,0.4497504753100253,0.447594791373441,12.260920229188294,4.392342619513702,60.15414321038366,0.3887340167724756,0.1103856031603118,2.759631051261745,471.3189493157494,0.4913173416904783,0.6292489695412452,1.3579651296444124,0.7049730490749351,8.3240311656893,0.0837638169575306,5.695652173913044,0.2476370510396975,1.2098298676748582,9.695652173913045,41765.086956521736,582824.7826086957,3219.393574879227,0.2139251207729468,8.043478260869565,0.3497164461247637,0.6043259793325891,6.201391067156829,0.0936301773174321,3.3816201079487307,0.0160055671537926,37861.55387523629,11.668348620229272,0.0037067684150172,4.692059470772623,0.0161413449389354,0.0456368744059507
1FBP_40dose_2-5mm.nii,0.9530789989289228,0.9051580329619556,19.08084045408905,21.08012055270687,26.23468995587206,26.23468995587206,24.232181711457635,27.982207773335816,4411.678578838211,20.09102019367488,0.542364597612132,2398.439124354717,0.5436568148594205,4465.959565436448,74.0,160.0,48911973.0,2.510399209909662,44.0,3.424717883549852,215.0,26.643166538446287,118.04039469626888,120.0,-31.0,246.0,18.55385816677349,122.81010890481976,-0.413757121848025,67357043.9974466,0.2075145794224216,1148.7880691627472,55.821669049779295,58.54623263624877,-3.0811496274060883,3.912812276272829,2.419963794074913,0.214348527760444,1.193682320494727,1.9338484655902497,0.9859149948507824,0.566021638257534,0.5214032842753912,0.981100860998924,0.90788208663535,-0.0315434853016889,0.3212723840111907,0.4821209012058269,7.445489449956255,0.0538762710034006,4.65026166670231,0.3363750186600205,0.0982471067969862,14.89097889991251,2.985051862699049,1.5831940175869357,5.749279800982765,309.46130126426146,0.0954243913858345,8.950807778874092,672.9697810669134,1.958263957884003,54.33425840271354,40.290780141843975,2298.672833795868,0.7637834404224002,0.0226935890350364,0.1230304520224965,6.077288152609255,0.0040082812557894,525.2176384931538,0.1967141527661755,2.127234588888704,53.892917579584505,1.7971905390682426,98.82883482342748,0.0389613022845441,0.0233589857908676,3.351925020695586,1913.018182553919,0.7108325332821374,0.8231457102872459,0.2964927243220089,0.86593148246989,46.34818984607921,0.0206977813448784,56.81025641025641,0.1456673241288626,4.734707429322814,48.12564102564102,3766.5564102564094,213283.87692307687,68.84580554065276,0.0358147458335048,127.05641025641026,0.3257856673241288,0.5900128738337248,28.01989316187437,0.022569428537763,5.1548008444482125,0.1202590194264569,3697.4107889546353,4.65200460717732,0.0021820421562685,46.34482294059013,0.0301778560458996,0.1079611333602628
1AV_100dose_0-625mm.nii,0.8372393274892217,0.8263599275131238,15.819520011035983,19.143619486297933,23.61809776144199,25.50542825754983,21.82840326070172,26.365605493348976,2504.772027188163,16.02779110441764,0.2729245393821392,3268.0373256504527,1.3047244580254775,2535.599151976522,89.0,158.0,118659832.0,2.198017757270179,36.0,3.309574208006865,218.0,21.43865004339252,124.00353021045484,125.0,10.0,208.0,15.021252127221151,126.93035332836058,-0.2806120671512498,40851835.627002925,0.2556100416227096,734.439091407268,31.24742246408604,27.20219247894224,-1.0439900047730903,2.85494798448667,1.711120199326462,0.2470912699604437,0.9862405489222512,1.734042757917573,0.7320270591712569,0.6102733929062658,0.5781346983076584,0.9801248506953312,0.9076284905294796,-0.0297515744803712,0.3114981725717827,0.5078483891316687,5.564154239478053,0.0730087267289068,4.211221197130172,0.2677737687187451,0.1293480773421043,11.128308478956106,2.789747318505925,1.1415170459532828,5.755286558301689,577.741072640869,0.0784441374936685,12.750393141263263,1882.567956551256,1.249484594619881,31.285539714867618,59.18818737270876,1884.8852681602173,2.0335852570592494,0.0403955118392935,0.0886386732171714,2.671965703164976,0.0055694189862016,1371.7808430233142,0.2398115862159941,1.3912174296501854,31.16635243656833,2.112267592627587,66.49162788940002,0.0808084803032436,0.0418606469971653,3.227961964927573,3740.421943602251,0.6493776295613372,0.7763643010078857,0.428760093767946,0.8310609400143039,25.818035732253893,0.0357998221763782,103.3717105263158,0.170019260734072,3.736658154432133,29.56578947368421,16774.25822368421,534815.3947368421,552.2919592523596,0.0722482206363295,183.24671052631567,0.3013926159972299,0.561550896050376,16.721976785745852,0.0440656489062718,5.062984441873187,0.0825526137135098,16627.52166021035,17.09454948650702,0.0009561453207584,24.80151894519976,0.0245565140857611,0.0281424339696948
2DLIR_100dose_1-25mm.nii,0.6568235844856904,0.6477062584778368,14.908935284056062,23.018050372237088,23.914424458570053,24.906569357995767,19.59432484405265,26.19996863242492,2819.340672830269,15.118798353364944,0.4399046104118073,2193.936138961087,0.7781734786802643,2851.989596058861,107.0,141.0,64788606.0,1.3860433403183785,18.0,5.724500807151053,163.0,11.043918442374414,124.1916948334138,126.0,44.0,119.0,7.369039991703614,125.06744293569064,-1.0046987664301448,44610437.04856511,0.4390715780054329,218.28821687645325,21.084533836675465,2.877139385692497,-0.3790984346395497,0.7946766070910845,0.5292023753353008,0.1776953033132682,0.4887037039245,1.1120016095942238,0.28857242682767,0.7623657093900333,0.7596980151788302,0.9858638549616656,0.9309068415613984,-0.0382885632997591,0.237819071001973,0.4535716401484478,4.584243911948568,0.2333754102897088,2.395636244399717,0.2527370364595135,0.3382414941027122,9.168487823897136,1.807078221157176,0.3309697456065964,5.512613564278068,203.36697247706425,0.0490987379229995,31.47336269343193,1818.6344760985032,0.4304710540188354,20.582810236600675,153.815548044423,3425.967648478996,7.237459694726112,0.0546208889961907,0.0392038133626206,0.7517612403474404,0.0035526263781314,1034.4555653243535,0.4067806085305071,0.5146694751972041,19.93336733319099,4.399705256638873,94.44088694386122,0.2222146016433018,0.0581572978295446,3.007155914722143,1282.6164230401132,0.4884986332574981,0.613044608698882,1.5016522313739586,0.7122927997135897,13.872091946028693,0.043523514315521,33.134453781512605,0.2784407880799379,2.3350045900713225,18.605042016806724,60542.75630252101,1287791.3781512603,2986.8864075630254,0.1116013071895424,37.31932773109244,0.3136077960596003,0.5788072607356656,11.294820666173084,0.0719065938201191,4.220367641571719,0.0287300820859488,59331.24835816679,21.237741863639098,0.0013286518712649,7.87874110446244,0.0128232833222413,0.0280455297405168
1DLIR_100dose_0-625mm.nii,0.8372393274892217,0.8263599275131238,15.819520011035983,19.143619486297933,23.61809776144199,25.50542825754983,21.82840326070172,26.365605493348976,2504.772027188163,16.02779110441764,0.2729245393821392,3268.0373256504527,1.3047244580254775,2535.599151976522,104.0,145.0,116285113.0,1.5932324688364974,21.0,5.413845196496748,174.0,13.354686488496949,124.39524779361848,126.0,35.0,139.0,8.974442402682456,125.653816504603,-0.9924758377311648,40034274.80112614,0.3967280890839362,314.7039285366974,21.093884779320508,7.410880403029288,-0.8626289375529953,1.1805931974806834,0.6536976650985091,0.2734561604381174,0.5582954707374576,1.2218909840605754,0.3396242509614421,0.7364768404390302,0.7303924840673766,0.9827401317791644,0.9219339819406638,-0.0516918631643447,0.3417887897064698,0.4774232332406546,4.57827817183494,0.1877071325331888,2.829486874717836,0.4818641155169189,0.2897393031056188,9.15655634366988,2.097394337190837,0.458572715644798,5.62473221013107,389.2799728445349,0.0528553934615797,26.85792612810172,2921.902376103191,0.5899835417234134,20.82471147318397,130.48839103869653,2855.416700610998,6.334857433808554,0.0581603681074149,0.0495389332462153,0.9583935779073024,0.0052601165167753,1702.5762903490938,0.3566801768954949,0.7243806319318397,20.460826850339235,3.614216837160945,77.291031694525,0.1920096217333092,0.0624114565073782,3.129805423990872,2475.510768311888,0.5091028082418111,0.6469267324664473,1.108625088902739,0.733935320213792,14.828708601390597,0.0485626784251744,91.23283582089552,0.2723368233459567,2.4768634439741595,19.27462686567164,55346.74925373135,1194840.0597014923,2687.5656998341624,0.1227545605306799,85.31044776119403,0.2546580530184896,0.5096260122279745,9.656946710030333,0.0724063416288237,4.607350301230382,0.0454854039375424,54863.405747382494,35.07909452605273,0.0008419718799368,7.941470723736305,0.0185188073765646,0.0155837154825567
1AV_40dose_0-625mm.nii,0.9662089302988544,0.8323283823076242,18.868724526015303,22.66980788724506,30.48741865374153,30.95014198252755,32.051867057527986,32.65949481262614,5063.98283453983,21.903770828815585,0.2931620921675378,4864.495380865219,0.960606609423324,5092.887746800908,60.0,161.0,208985643.0,2.7060746060819607,53.0,2.942758840826482,241.0,31.220152482683257,112.2549178665585,114.0,-44.0,285.0,22.01166506732121,118.85845952616444,-0.2979737735757573,71948923.17258224,0.177941123455373,1526.166815705077,53.30375643766976,131.23681677485197,-6.330135091039032,6.313302976481414,2.498235584484684,0.4261646537805441,1.2102636277960548,1.9525524062996007,1.0192473854336317,0.5634762955698234,0.518195909574573,0.9835098163249948,0.913522552061636,-0.0656870668256791,0.5122665234679915,0.4800430520278186,7.234299926921635,0.0418401891391192,5.036468518856334,0.4621182291571273,0.0809360345331944,14.46859985384327,3.345138556904064,2.202884640241524,6.146061858963734,1287.9735685797336,0.0870664211843259,10.243981213259255,2632.283039275333,2.538214306207749,51.66416548367471,50.391063340769286,2759.970526600419,1.045886173648252,0.0256625472683626,0.0946840867813106,4.345806954758288,0.0039455315317687,1988.019703304887,0.1691296043226294,2.743613442163422,51.05457834792463,1.9566444780551409,102.7675451152208,0.0472727898862708,0.0266956530932892,3.657763345060638,7907.369052726122,0.6696077868681687,0.7947625956143499,0.359850106448617,0.8440135496930292,42.64215406112039,0.0232680649399618,164.18973561430792,0.1276747555321212,5.795943997929611,43.69595645412131,23417.994556765163,1278822.2146189737,454.9069670220436,0.0475679477146764,407.6531881804044,0.3169931478852288,0.580255774533121,25.67027019458223,0.0302772018014109,5.462601632394644,0.0869330088555397,23285.6730074326,18.2867342660688,0.000542013893811,51.538001250315794,0.0320554420543655,0.0286395979702978
1FBP_100dose_2-5mm.nii,0.6346755057245157,0.6027227057820349,12.795101985244145,21.22883684735661,23.2870256569168,21.14865967852758,17.516265214926104,24.97619520471889,1940.5739606210896,13.473422762039297,0.586264361761848,1283.3469891792497,0.6613234100948714,1978.9034522146703,95.0,153.0,23084957.0,2.007461553119628,32.0,3.432660805668665,195.0,18.61066679451362,124.51983298538622,126.0,38.0,157.0,12.832876699942128,126.74655119326763,-0.3702643029830036,31790467.01567656,0.2951584261071232,559.4994326791348,21.070587223486346,13.618344396502131,-0.6824704070423633,1.961095962432939,1.543042188407159,0.1116144023404025,0.939823435168544,1.6660819785350005,0.6526306925466699,0.6195903351980063,0.5899709629275626,0.9710351350599892,0.8905207843809783,-0.0231466439013851,0.2439080936710831,0.5131360408091915,4.5785845443011866,0.093911125145016,3.8458622753012297,0.2084679839751892,0.1607275491030298,9.157169088602371,2.5037279954755283,0.8760345377100246,5.405368836369383,120.82881002087684,0.0840840709957389,12.455704661910175,424.142658315936,0.9653355570955304,21.15588030619346,53.50661099512874,1158.0563674321504,2.7342390925286835,0.0619628162097592,0.0990574344719033,2.095876724767612,0.0095171597145398,313.6044523620326,0.2753262655104133,1.0748223101909629,21.07423209742908,2.0544898661240705,43.62766571758388,0.1206423917317365,0.0642823397757264,2.963318413543269,779.920040795572,0.6756520492450624,0.7920346876505542,0.4105412512067522,0.8437902369858504,17.712165951353743,0.0558898787528602,29.49253731343284,0.2200935620405435,2.894241479171308,20.79850746268657,3742.6641791044776,79362.45522388059,186.8380180729008,0.1067601617761532,41.507462686567166,0.3097571842281131,0.5734097828136286,12.5791225179813,0.0680608596429817,4.48348547618236,0.0932498260264439,3627.662564045444,6.190210641959309,0.0044457776775085,13.813733206994462,0.0312025209475101,0.0747610907778272
